ukrball100;mathball100;physball100;year
0;0;104;2018
142;153;125;2018
0;0;0;2018
170;175;131;2018
164;161;161;2018
178;183;149;2018
180;163;128;2018
107;129;0;2018
116;107;121;2018
176;168;143;2018
124;138;104;2018
158;157;131;2018
155;163;128;2018
193;195;194;2018
135;107;100;2018
185;175;171;2018
183;155;143;2018
147;124;131;2018
123;0;0;2018
135;0;113;2018
186;188;135;2018
126;0;0;2018
143;119;121;2018
105;0;104;2018
170;140;143;2018
190;182;171;2018
163;136;121;2018
112;100;0;2018
163;185;180;2018
163;140;143;2018
166;185;117;2018
177;175;149;2018
112;0;0;2018
116;0;113;2018
156;180;149;2018
138;107;104;2018
129;117;135;2018
105;100;0;2018
100;0;0;2018
134;144;131;2018
192;182;178;2018
178;177;169;2018
170;152;140;2018
197;193;175;2018
148;155;117;2018
163;172;164;2018
112;104;0;2018
152;111;128;2018
160;136;128;2018
170;163;131;2018
164;159;163;2018
131;150;0;2018
142;144;135;2018
134;124;104;2018
192;196;183;2018
104;0;0;2018
170;173;125;2018
184;178;168;2018
123;107;100;2018
171;182;166;2018
167;142;131;2018
185;189;177;2018
151;177;121;2018
0;0;113;2018
0;0;135;2018
107;0;0;2018
153;0;0;2018
159;140;138;2018
151;150;131;2018
0;0;100;2018
188;172;138;2018
146;188;164;2018
139;104;100;2018
141;150;155;2018
146;119;121;2018
121;122;121;2018
126;100;0;2018
156;182;145;2018
166;153;125;2018
102;0;113;2018
0;111;121;2018
134;119;113;2018
123;104;104;2018
184;189;191;2018
146;0;117;2018
142;172;104;2018
146;138;117;2018
116;0;100;2018
185;191;157;2018
114;100;104;2018
159;127;131;2018
0;100;0;2018
143;148;147;2018
177;185;171;2018
118;107;0;2018
179;188;177;2018
114;0;117;2018
184;192;191;2018
107;0;0;2018
151;159;100;2018
169;164;121;2018
100;111;104;2018
152;122;104;2018
167;173;168;2018
118;0;109;2018
184;188;177;2018
0;0;100;2018
194;198;195;2018
177;183;169;2018
164;146;135;2018
176;170;172;2018
135;104;125;2018
169;133;138;2018
124;0;100;2018
156;144;140;2018
0;0;0;2018
116;0;0;2018
143;159;113;2018
151;133;135;2018
185;189;184;2018
183;168;153;2018
173;192;178;2018
0;0;109;2018
180;178;177;2018
148;133;109;2018
167;122;145;2018
183;166;131;2018
188;196;166;2018
100;107;104;2018
169;191;181;2018
170;180;171;2018
139;136;100;2018
0;0;100;2018
175;166;121;2018
134;161;143;2018
138;157;128;2018
109;124;0;2018
141;182;157;2018
156;136;0;2018
176;185;125;2018
0;0;0;2018
109;117;0;2018
132;189;164;2018
119;117;104;2018
196;189;177;2018
0;0;104;2018
116;124;117;2018
124;107;117;2018
179;170;138;2018
187;175;164;2018
152;129;109;2018
0;107;113;2018
112;111;125;2018
141;138;109;2018
109;0;121;2018
187;177;183;2018
121;0;0;2018
175;185;186;2018
0;100;109;2018
184;189;187;2018
181;182;174;2018
136;124;121;2018
123;119;121;2018
112;100;125;2018
100;0;0;2018
186;166;153;2018
0;0;0;2018
158;146;145;2018
164;175;121;2018
157;131;128;2018
112;100;104;2018
166;188;174;2018
163;195;155;2018
176;175;157;2018
162;144;143;2018
141;136;135;2018
167;152;131;2018
167;107;113;2018
192;193;194;2018
165;168;147;2018
102;0;109;2018
187;200;199;2018
145;136;100;2018
193;195;178;2018
135;131;109;2018
182;183;168;2018
124;122;104;2018
116;107;100;2018
126;122;0;2018
163;150;109;2018
104;111;0;2018
111;104;113;2018
0;0;0;2018
184;175;149;2018
191;193;172;2018
184;183;172;2018
162;170;145;2018
134;111;104;2018
105;0;121;2018
171;186;175;2018
195;198;193;2018
174;140;131;2018
195;193;193;2018
183;189;191;2018
100;100;0;2018
162;148;117;2018
146;0;125;2018
167;136;121;2018
126;0;0;2018
178;159;121;2018
0;0;100;2018
151;104;0;2018
165;168;164;2018
124;0;100;2018
135;152;121;2018
175;161;138;2018
148;138;0;2018
111;0;0;2018
167;146;109;2018
180;142;135;2018
153;191;159;2018
186;152;138;2018
168;178;159;2018
181;173;166;2018
185;192;183;2018
176;177;184;2018
118;111;104;2018
166;180;149;2018
131;122;0;2018
153;144;128;2018
147;182;183;2018
168;129;104;2018
105;107;0;2018
134;168;143;2018
134;114;117;2018
136;107;128;2018
183;180;153;2018
124;124;117;2018
143;155;135;2018
126;127;125;2018
182;163;164;2018
158;175;140;2018
167;131;104;2018
189;172;135;2018
